abstract,author,doi,url,publication month,publication year,title,publisher,crossref_field,semantic_field,label
{},Himanshu Saxena,,,,,biological n2 fixation rates of the world ocean,,{},,Oceanography
,"['Gordon T. Taylor', 'Kent A. Fanning', 'Stuart G. Wakeham', 'Agnieszka Podlaska']",10.1016/j.dsr.2012.04.002,https://doi.org/10.1016/j.dsr.2012.04.002,8,2012.0,microbial community structure and productivity in the oxygen minimum zone of the eastern tropical north pacific,Deep Sea Research Part I: Oceanographic Research Papers,"{'abstract': '', 'crossref_field': (['Aquatic Science', 'Oceanography'],), 'publisher': ['Deep Sea Research Part I: Oceanographic Research Papers'], 'doi': '10.1016/j.dsr.2012.04.002', 'url': 'http://dx.doi.org/10.1016/j.dsr.2012.04.002'}",,Oceanography
,"['Ramon Varela', 'Frank Muller-Karger', 'Robert C. Thunell', 'Mary I. Scranton', 'Tung-Yuan Ho', 'Maria Iabichella', 'Gordon T. Taylor']",10.4319/lo.2001.46.1.0148,https://doi.org/10.4319/lo.2001.46.1.0148,1,2001.0,chemoautotrophy in the redox transition zone of the cariaco basin: a significant midwater source of organic carbon production,Limnology and Oceanography,"{'abstract': '', 'crossref_field': (['Aquatic Science', 'Oceanography'],), 'publisher': ['Limnology and Oceanography'], 'doi': '10.4319/lo.2001.46.1.0148', 'url': 'http://dx.doi.org/10.4319/lo.2001.46.1.0148'}",,Oceanography
". Coastal upwelling ecosystems with marked oxyclines (redoxclines) present high availability of electron donors that favour chemoautotrophy, leading in turn to high N2O and CH4 cycling associated with aerobic NH4+ (AAO) and CH4 oxidation (AMO). This is the case of the highly productive coastal upwelling area off Central Chile (36° S), where we evaluated the importance of total chemolithoautotrophic vs. photoautotrophic production, the specific contributions of AAO and AMO to chemosynthesis and their role in gas cycling. Chemoautotrophy (involving bacteria and archaea) was studied at a time-series station during monthly (2002–2009) and seasonal cruises (January 2008, September 2008, January 2009) and was assessed in terms of dark carbon assimilation (CA), N2O and CH4 cycling, and the natural C isotopic ratio of particulate organic carbon (δ13POC). Total Integrated dark CA fluctuated between 19.4 and 2.924 mg C m−2 d−1. It was higher during active upwelling and represented on average 27% of the integrated photoautotrophic production (from 135 to 7.626 mg C m−2d−1). At the oxycline, δ13POC averaged -22.209‰ this was significantly lighter compared to the surface (-19.674‰) and bottom layers (-20.716‰). This pattern, along with low NH4+ content and high accumulations of N2O, NO2- and NO3- within the oxycline indicates that chemolithoautotrophs and specifically AA oxydisers were active. Dark CA was reduced from 27 to 48% after addition of a specific AAO inhibitor (ATU) and from 24 to 76% with GC7, a specific archaea inhibitor, indicating that AAO and maybe AMO microbes (most of them archaea) were performing dark CA through oxidation of NH4+ and CH4. AAO produced N2O at rates from 8.88 to 43 nM d−1 and a fraction of it was effluxed into the atmosphere (up to 42.85 μmol m−2 d−1). AMO on the other hand consumed CH4 at rates between 0.41 and 26.8 nM d−1 therefore preventing its efflux to the atmosphere (up to 18.69 μmol m−2 d−1). These findings show that chemically driven chemoautotrophy (with NH4+ and CH4 acting as electron donors) could be more important than previously thought in upwelling ecosystems and open new questions concerning its future relevance.","['M. E. Alcaman', 'M. Cornejo', 'J. Faúndez', 'C. Fernández', 'L. Farías']",10.5194/bgd-6-6205-2009,https://doi.org/10.5194/bgd-6-6205-2009,6,2009.0,chemolithoautotrophic production mediating the cycling of the greenhouses gases n&lt;sub&gt;2&lt;/sub&gt;o and ch&lt;sub&gt;4&lt;/sub&gt; in an upwelling ecosystem,,"{'abstract': '. Coastal upwelling ecosystems with marked oxyclines (redoxclines) present high availability of electron donors that favour chemoautotrophy, leading in turn to high N2O and CH4 cycling associated with aerobic NH4+ (AAO) and CH4 oxidation (AMO). This is the case of the highly productive coastal upwelling area off Central Chile (36° S), where we evaluated the importance of total chemolithoautotrophic vs. photoautotrophic production, the specific contributions of AAO and AMO to chemosynthesis and their role in gas cycling. Chemoautotrophy (involving bacteria and archaea) was studied at a time-series station during monthly (2002–2009) and seasonal cruises (January 2008, September 2008, January 2009) and was assessed in terms of dark carbon assimilation (CA), N2O and CH4 cycling, and the natural C isotopic ratio of particulate organic carbon (δ13POC). Total Integrated dark CA fluctuated between 19.4 and 2.924 mg C m−2 d−1. It was higher during active upwelling and represented on average 27% of the integrated photoautotrophic production (from 135 to 7.626 mg C m−2d−1). At the oxycline, δ13POC averaged -22.209‰ this was significantly lighter compared to the surface (-19.674‰) and bottom layers (-20.716‰). This pattern, along with low NH4+ content and high accumulations of N2O, NO2- and NO3- within the oxycline indicates that chemolithoautotrophs and specifically AA oxydisers were active. Dark CA was reduced from 27 to 48% after addition of a specific AAO inhibitor (ATU) and from 24 to 76% with GC7, a specific archaea inhibitor, indicating that AAO and maybe AMO microbes (most of them archaea) were performing dark CA through oxidation of NH4+ and CH4. AAO produced N2O at rates from 8.88 to 43 nM d−1 and a fraction of it was effluxed into the atmosphere (up to 42.85 μmol m−2 d−1). AMO on the other hand consumed CH4 at rates between 0.41 and 26.8 nM d−1 therefore preventing its efflux to the atmosphere (up to 18.69 μmol m−2 d−1). These findings show that chemically driven chemoautotrophy (with NH4+ and CH4 acting as electron donors) could be more important than previously thought in upwelling ecosystems and open new questions concerning its future relevance.', 'crossref_field': ([],), 'publisher': [], 'doi': '10.5194/bgd-6-6205-2009', 'url': 'http://dx.doi.org/10.5194/bgd-6-6205-2009'}",,Oceanography
,"['Gerhard J. Herndl', 'Thomas Reinthaler', 'Josep M. Gasol', 'Eva Sintes', 'Javier Arístegui', 'Federico Baltar']",10.1029/2010GL043105,https://doi.org/10.1029/2010GL043105,5,2010.0,significance of non-sinking particulate organic carbon and dark co2fixation to heterotrophic carbon demand in the mesopelagic northeast atlantic: dark co2fixation and c demand,Geophysical Research Letters,"{'abstract': '', 'crossref_field': (['General Earth and Planetary Sciences', 'Geophysics'],), 'publisher': ['Geophysical Research Letters'], 'doi': '10.1029/2010gl043105', 'url': 'http://dx.doi.org/10.1029/2010gl043105'}",,Oceanography
,"['Gerhard J. Herndl', 'Hendrik M. van Aken', 'Thomas Reinthaler']",10.1016/j.dsr2.2010.02.023,https://doi.org/10.1016/j.dsr2.2010.02.023,8,2010.0,major contribution of autotrophy to microbial carbon cycling in the deep north atlantic’s interior,Deep Sea Research Part II: Topical Studies in Oceanography,"{'abstract': '', 'crossref_field': (['Oceanography'],), 'publisher': ['Deep Sea Research Part II: Topical Studies in Oceanography'], 'doi': '10.1016/j.dsr2.2010.02.023', 'url': 'http://dx.doi.org/10.1016/j.dsr2.2010.02.023'}",,Oceanography
,"['Sheng Liu', 'Tao Yuan', 'Hui Huang', 'Xiangcheng Yuan', 'Yajuan Guo', 'Jianzu Liao', 'Weihua Zhou']",10.1016/j.csr.2017.08.005,http://dx.doi.org/10.1016/j.csr.2017.08.005,8,2017.0,high dark carbon fixation in the tropical south china sea,Continental Shelf Research,"{'abstract': '', 'crossref_field': (['Geology', 'Aquatic Science', 'Oceanography'],), 'publisher': ['Continental Shelf Research'], 'doi': '10.1016/j.csr.2017.08.005', 'url': 'http://dx.doi.org/10.1016/j.csr.2017.08.005'}",,Oceanography
,"['Laura Giuliano', 'Peter N Golyshin', 'Manuel Ferrer', 'Juan Pablo Albar', 'Marisol Fernández', 'Sergio Ciordia', 'Silvia Juárez', 'Thomas H DeLuca', 'Francesco Smedile', 'Violetta La Cono', 'Michail M Yakimov']",10.1038/ismej.2010.197,https://doi.org/10.1038/ismej.2010.197,1,2011.0,contribution of crenarchaeal autotrophic ammonia oxidizers to the dark primary production in tyrrhenian deep waters (central mediterranean sea),The ISME Journal,"{'abstract': '', 'crossref_field': (['Ecology, Evolution, Behavior and Systematics', 'Microbiology'],), 'publisher': ['The ISME Journal'], 'doi': '10.1038/ismej.2010.197', 'url': 'http://dx.doi.org/10.1038/ismej.2010.197'}",,Oceanography
,"['R Sen Gupta', 'M Dileep Kumar', 'A Rajendran', 'K Somasundar']",10.1016/0304-4203(90)90081-M,https://doi.org/10.1016/0304-4203(90)90081-M,1,1990.0,carbon and nitrogen budgets of the arabian sea,Marine Chemistry,"{'abstract': '', 'crossref_field': (['Water Science and Technology', 'Environmental Chemistry', 'General Chemistry', 'Oceanography'],), 'publisher': ['Marine Chemistry'], 'doi': '10.1016/0304-4203(90)90081-m', 'url': 'http://dx.doi.org/10.1016/0304-4203(90)90081-m'}",,Oceanography
,"['Ludger Mintrop', 'Jan C. Duinker', 'Arne Körtzinger']",10.1029/97GL01775,https://doi.org/10.1029/97GL01775,7,1997.0,strong co2emissions from the arabian sea during south-west monsoon,Geophysical Research Letters,"{'abstract': '', 'crossref_field': (['General Earth and Planetary Sciences', 'Geophysics'],), 'publisher': ['Geophysical Research Letters'], 'doi': '10.1029/97gl01775', 'url': 'http://dx.doi.org/10.1029/97gl01775'}",,Oceanography
